huyen,xa,thon,cap
Thành phố Huế,Xã Hương Thọ,Thôn Định Môn,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn Hòa An,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn Kim Ngọc,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn La Khê Bãi,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn La Khê Trẹm,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn Liên Bằng,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn Thạch Hàn,capdo1
Thành phố Huế,Xã Hương Thọ,Thôn Hải Cát,capdo3
Thành phố Huế,Phường An Đông,Tổ dân phố 1_2,capdo1
Thành phố Huế,Phường An Đông,Tổ dân phố 9,capdo1
Thành phố Huế,Phường An Đông,Tổ dân phố 13,capdo1
Thành phố Huế,Phường An Đông,Tổ dân phố 16,capdo1
Thành phố Huế,Phường An Đông,Tổ dân phố 19,capdo1
Thành phố Huế,Phường An Đông,Tổ dân phố 7_8,capdo2
Thành phố Huế,Phường An Đông,Tổ dân phố 10_11,capdo2
Thành phố Huế,Phường An Đông,Tổ dân phố 14,capdo2
Thành phố Huế,Phường An Đông,Tổ dân phố 15,capdo2
Thành phố Huế,Phường An Đông,Tổ dân phố 17_18,capdo2
Thành phố Huế,Phường An Đông,Tổ dân phố 22,capdo2
Thành phố Huế,Phường An Đông,Tổ dân phố 5,capdo3
Thành phố Huế,Phường An Đông,Tổ dân phố 6,capdo3
Thành phố Huế,Phường An Đông,Tổ dân phố 12,capdo3
Thành phố Huế,Phường An Đông,Tổ dân phố 20_21,capdo3
Thành phố Huế,Phường An Đông,Tổ dân phố Nhì Đông,capdo3
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Chầm,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Hạ 1,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Hạ 2,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Thượng 1,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Ngọc Hồ,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Nham Biều - Lưu Bảo,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Xước Dũ,capdo1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố An Bình,capdo2
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Thượng 2,capdo3
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 5,capdo1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 6,capdo1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 7,capdo1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố Đống Đa,capdo1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 4,capdo2
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 2,capdo1
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 6,capdo1
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 12,capdo1
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 5,capdo2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 8,capdo2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 9,capdo2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 10,capdo2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 11,capdo2
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Phước Vĩnh,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 2,capdo1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 4,capdo1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 5,capdo1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 6,capdo1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 9,capdo1
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 7,capdo3
Thành phố Huế,Phường Phường Đúc,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Thuận An,Tổ dân phố An Hải,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Hải Bình,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Hải Thành,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Hải Tiến,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Minh Hải,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Bình,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Dương,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Lập,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Mỹ,capdo1
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân An,capdo2
Thành phố Huế,Phường Thuận An,Tổ dân phố Diên Trường,capdo3
Thành phố Huế,Phường Thuận An,Tổ dân phố Tân Cảng,capdo3
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Đông Phước 1,capdo1
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Trường Đá,capdo1
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Trường Sơn,capdo1
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Long Thọ,capdo2
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Lương Quán,capdo2
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Trung Thượng,capdo2
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Đông Phước 2,capdo3
Thành phố Huế,Phường Thủy Vân,Thôn Dạ Lê,capdo1
Thành phố Huế,Phường Thủy Vân,Thôn Công Lương,capdo2
Thành phố Huế,Phường Thủy Vân,Thôn Vân Dương,capdo2
Thành phố Huế,Phường Thủy Vân,Thôn Xuân Hòa,capdo2
Thành phố Huế,Phường Trường An,Tổ dân phố 1,capdo1
Thành phố Huế,Phường Trường An,Tổ dân phố 5,capdo1
Thành phố Huế,Phường Trường An,Tổ dân phố 7,capdo1
Thành phố Huế,Phường Trường An,Tổ dân phố 9,capdo1
Thành phố Huế,Phường Trường An,Tổ dân phố 11,capdo1
Thành phố Huế,Phường Trường An,Tổ dân phố 4,capdo2
Thành phố Huế,Phường Trường An,Tổ dân phố 8,capdo2
Thành phố Huế,Phường Trường An,Tổ dân phố 10,capdo2
Thành phố Huế,Phường Trường An,Tổ dân phố 2,capdo3
Thành phố Huế,Phường Trường An,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Trường An,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Vĩnh Ninh,Tổ dân phố 1,capdo2
Thành phố Huế,Phường Vĩnh Ninh,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Vĩnh Ninh,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Vĩnh Ninh,Tổ dân phố 4,capdo3
Thành phố Huế,Phường Vĩnh Ninh,Tổ dân phố 5,capdo3
Thành phố Huế,Xã Hải Dương,Thôn Thai Dương Hạ Bắc,capdo1
Thành phố Huế,Xã Hải Dương,Thôn Thai Dương Hạ Nam,capdo1
Thành phố Huế,Xã Hải Dương,Thôn Thai Dương Thượng Đông,capdo1
Thành phố Huế,Xã Hải Dương,Thôn Vĩnh Trị,capdo1
Thành phố Huế,Xã Hải Dương,Thôn Thai Dương Hạ Trung,capdo3
Thành phố Huế,Xã Hải Dương,Thôn Thai Dương Thượng Tây,capdo3
Thành phố Huế,Xã Hương Phong,Thôn Thuận Hòa,capdo1
Thành phố Huế,Xã Hương Phong,Thôn Tiền Thành,capdo1
Thành phố Huế,Xã Hương Phong,Thôn An Lai,capdo3
Thành phố Huế,Xã Hương Phong,Thôn Thanh Phước,capdo3
Thành phố Huế,Xã Hương Phong,Thôn Vân Quật Đông,capdo3
Thành phố Huế,Xã Hương Phong,Thôn Vân Quật Thượng,capdo3
Thành phố Huế,Xã Phú Thanh,Thôn Hải Thanh,capdo1
Thành phố Huế,Xã Phú Thanh,Thôn Lại Lộc,capdo2
Thành phố Huế,Xã Phú Thanh,Thôn Quy Lai,capdo2
Thành phố Huế,Xã Phú Thanh,Thôn Hòa An,capdo3
Thành phố Huế,Xã Thủy Bằng,Thôn An Dương,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Châu Chữ,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Cư Chánh 1,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Cư Chánh 2,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Dạ Khê,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Nguyệt Biều,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Tân Ba,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Vỹ Xá,capdo1
Thành phố Huế,Xã Thủy Bằng,Thôn Bằng Lãng,capdo2
Thành phố Huế,Xã Thủy Bằng,Thôn Kim Sơn,capdo3
Thành phố Huế,Xã Thủy Bằng,Thôn La Khê Hói,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 1,capdo1
Thành phố Huế,Phường An Cựu,Tổ dân phố 2,capdo2
Thành phố Huế,Phường An Cựu,Tổ dân phố 3,capdo2
Thành phố Huế,Phường An Cựu,Tổ dân phố 4,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 5,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 6,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 7,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 8,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 10,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 12,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 13,capdo3
Thành phố Huế,Phường An Cựu,Tổ dân phố 9,capdo4
Thành phố Huế,Phường An Cựu,Tổ dân phố 11,capdo4
Thành phố Huế,Phường An Hòa,Tổ dân phố 7,capdo2
Thành phố Huế,Phường An Hòa,Tổ dân phố 12,capdo2
Thành phố Huế,Phường An Hòa,Tổ dân phố 13,capdo2
Thành phố Huế,Phường An Hòa,Tổ dân phố 1,capdo3
Thành phố Huế,Phường An Hòa,Tổ dân phố 5,capdo3
Thành phố Huế,Phường An Hòa,Tổ dân phố 6,capdo3
Thành phố Huế,Phường An Hòa,Tổ dân phố 8,capdo3
Thành phố Huế,Phường An Hòa,Tổ dân phố 9,capdo3
Thành phố Huế,Phường An Hòa,Tổ dân phố 11,capdo3
Thành phố Huế,Phường An Tây,Tổ dân phố 1,capdo2
Thành phố Huế,Phường An Tây,Tổ dân phố 2,capdo2
Thành phố Huế,Phường An Tây,Tổ dân phố 3,capdo2
Thành phố Huế,Phường An Tây,Tổ dân phố 6,capdo2
Thành phố Huế,Phường An Tây,Tổ dân phố 9,capdo2
Thành phố Huế,Phường An Tây,Tổ dân phố 10,capdo2
Thành phố Huế,Phường An Tây,Tổ dân phố 4,capdo3
Thành phố Huế,Phường An Tây,Tổ dân phố 7,capdo3
Thành phố Huế,Phường An Tây,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 9,capdo1
Thành phố Huế,Phường Đông Ba,Tổ dân phố 13,capdo1
Thành phố Huế,Phường Đông Ba,Tổ dân phố 14,capdo1
Thành phố Huế,Phường Đông Ba,Tổ dân phố 2,capdo2
Thành phố Huế,Phường Đông Ba,Tổ dân phố 4,capdo2
Thành phố Huế,Phường Đông Ba,Tổ dân phố 7,capdo2
Thành phố Huế,Phường Đông Ba,Tổ dân phố 1,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 3,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 5,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 6,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 10,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 11,capdo3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 12,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 5,capdo1
Thành phố Huế,Phường Gia Hội,Tổ dân phố 6,capdo1
Thành phố Huế,Phường Gia Hội,Tổ dân phố 12,capdo1
Thành phố Huế,Phường Gia Hội,Tổ dân phố 16,capdo1
Thành phố Huế,Phường Gia Hội,Tổ dân phố 1,capdo2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 3,capdo2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 4,capdo2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 7,capdo2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 9,capdo2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 14,capdo2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 2,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 8,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 10,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 13,capdo3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 15,capdo3
