huyen,xa,thon,cap
Thành phố Huế,Phường Hương Hồ,Tổ dân phố An Bình,1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Chầm,1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Hạ 1,1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Hạ 2,1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Thượng 1,1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Ngọc Hồ,1
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Xước Dũ,2
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Long Hồ Thượng 2,3
Thành phố Huế,Phường Hương Hồ,Tổ dân phố Nham Biều - Lưu Bảo,3
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 2,1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 5,1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 6,1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố Đống Đa,1
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 1,2
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 3,2
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 4,2
Thành phố Huế,Phường Phú Nhuận,Tổ dân phố 7,3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 9,1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 10,1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 12,1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 16,1
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 1,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 2,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 3,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 4,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 5,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 8,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 13,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 15,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 17,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 18,2
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 6,3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 7,3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 11,3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 14,3
Thành phố Huế,Phường Tây Lộc,Tổ dân phố 19,3
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Đông Phước 1,1
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Long Thọ,1
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Lương Quán,1
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Đông Phước 2,2
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Trung Thượng,2
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Trường Đá,3
Thành phố Huế,Phường Thuỷ Biều,Tổ dân phố Trường Sơn,3
Thành phố Huế,Phường Trường An,Tổ dân phố 6,1
Thành phố Huế,Phường Trường An,Tổ dân phố 8,1
Thành phố Huế,Phường Trường An,Tổ dân phố 9,1
Thành phố Huế,Phường Trường An,Tổ dân phố 10,1
Thành phố Huế,Phường Trường An,Tổ dân phố 1,2
Thành phố Huế,Phường Trường An,Tổ dân phố 3,2
Thành phố Huế,Phường Trường An,Tổ dân phố 4,2
Thành phố Huế,Phường Trường An,Tổ dân phố 5,2
Thành phố Huế,Phường Trường An,Tổ dân phố 7,2
Thành phố Huế,Phường Trường An,Tổ dân phố 11,2
Thành phố Huế,Phường Trường An,Tổ dân phố 2,3
Thành phố Huế,Xã Hải Dương,Thôn Thai Dương Hạ Nam,1
